source	type	relation	attributeName	attributeValue	biolinkPredicate	inversePredicate	mappedRelation	inverseRelation
ChEMBL	affects		action_type	ACTIVATOR	biolink:increases_activity_of	biolink:activity_increased_by	CHEMBL.MECHANISM:ACTIVATOR	CHEMBL.MECHANISM:ACTIVATOR
ChEMBL	affects		action_type	AGONIST	biolink:increases_activity_of	biolink:activity_increased_by	CHEMBL.MECHANISM:AGONIST	CHEMBL.MECHANISM:AGONIST
ChEMBL	affects		action_type	ALLOSTERIC ANTAGONIST	biolink:decreases_activity_of	biolink:activity_decreased_by	CHEMBL.MECHANISM:ALLOSTERIC ANTAGONIST	CHEMBL.MECHANISM:ALLOSTERIC ANTAGONIST
ChEMBL	affects		action_type	ANTAGONIST	biolink:decreases_activity_of	biolink:activity_decreased_by	CHEMBL.MECHANISM:ANTAGONIST	CHEMBL.MECHANISM:ANTAGONIST
ChEMBL	affects		action_type	ANTISENSE INHIBITOR	biolink:decreases_expression_of	biolink:expression_decreased_by	CHEMBL.MECHANISM:ANTISENSE INHIBITOR	CHEMBL.MECHANISM:ANTISENSE INHIBITOR
ChEMBL	affects		action_type	BINDING AGENT	biolink:physically_interacts_with	biolink:physically_interacts_with	CHEMBL.MECHANISM:BINDING AGENT	CHEMBL.MECHANISM:BINDING AGENT
ChEMBL	affects		action_type	BLOCKER	biolink:decreases_activity_of	biolink:activity_decreased_by	CHEMBL.MECHANISM:BLOCKER	CHEMBL.MECHANISM:BLOCKER
ChEMBL	affects		action_type	CHELATING AGENT	biolink:physically_interacts_with	biolink:physically_interacts_with	CHEMBL.MECHANISM:CHELATING AGENT	CHEMBL.MECHANISM:CHELATING AGENT
ChEMBL	affects		action_type	CROSS-LINKING AGENT	biolink:physically_interacts_with	biolink:physically_interacts_with	CHEMBL.MECHANISM:CROSS-LINKING AGENT	CHEMBL.MECHANISM:CROSS-LINKING AGENT
ChEMBL	affects		action_type	DEGRADER	biolink:increases_degradation_of	biolink:degradation_increased_by	CHEMBL.MECHANISM:DEGRADER	CHEMBL.MECHANISM:DEGRADER
